Seconds (synced)	Acc x	Acc y	Acc z
7.583602	-71.140625	-41.289062	1008.589844
7.591621	-71.160156	-41.179688	1008.5625
7.59964	-71.105469	-41.148438	1008.710938
7.607659	-71.285156	-41.207031	1008.546875
7.615678	-71.253906	-41.269531	1008.667969
7.623697	-71.328125	-41.257812	1009.050781
7.631716	-71.253906	-41.328125	1009.050781
7.639735	-71.375	-41.328125	1009.21875
7.647754	-71.070312	-41.269531	1009.21875
7.655773	-71.136719	-41.214844	1009.246094
7.663792	-71.269531	-41.257812	1009.339844
7.671811	-71.171875	-41.46875	1009.101562
7.67983	-71.351562	-41.359375	1008.847656
7.687849	-71.179688	-41.253906	1008.832031
7.695868	-70.984375	-41.222656	1008.75
7.703887	-71.066406	-41.15625	1008.867187
7.711906	-71.101562	-41.242188	1008.996094
7.719925	-71.160156	-41.386719	1009.011719
7.727944	-71.199219	-41.117188	1008.972656
7.735963	-71.210938	-41.167969	1008.792969
7.743982	-71.191406	-41.085938	1008.753906
7.752001	-71.132812	-41.214844	1008.957031
7.76002	-71.320312	-41.277344	1008.867187
7.768039	-71.226562	-41.265625	1009.121094
7.776058	-71.21875	-41.234375	1009.199219
7.784077	-71.285156	-41.222656	1009.226563
7.792096	-71.214844	-41.207031	1008.988281
7.800115	-71.125	-41.128906	1009.210938
7.808134	-71.152344	-41.015625	1009.15625
7.816153	-71.253906	-40.984375	1009.085938
7.824172	-71.175781	-41.066406	1009.257812
7.832191	-71.140625	-41.269531	1008.886719
7.84021	-71.339844	-41.152344	1008.828125
7.848229	-71.292969	-41.101562	1009.097656
7.856248	-71.308594	-41.113281	1008.972656
7.864267	-71.253906	-41.25	1008.867187
7.872286	-71.25	-41.277344	1008.605469
7.880305	-71.171875	-41.308594	1008.617188
7.888324	-71.363281	-41.03125	1008.734375
7.896343	-71.273438	-41.226562	1008.945313
7.904362	-71.222656	-41.378906	1008.972656
7.912381	-71.246094	-41.234375	1009.121094
7.9204	-71.148438	-41.210938	1009.136719
7.928419	-71.113281	-41.242188	1009.082031
7.936438	-71.292969	-41.488281	1009.046875
7.944457	-71.15625	-41.390625	1009.046875
7.952476	-71.109375	-41.304688	1009.0
7.960495	-71.148438	-41.199219	1008.996094
7.968514	-71.304688	-41.339844	1008.832031
7.976533	-71.246094	-41.386719	1008.769531
7.984552	-71.273438	-41.316406	1009.019531
7.992571	-71.246094	-41.207031	1008.964844
8.00059	-71.230469	-41.261719	1008.789062
8.008584	-71.144531	-41.25	1008.632812
8.016603	-71.277344	-41.308594	1008.625
8.024622	-71.292969	-41.367188	1008.808594
8.032641	-71.273438	-41.347656	1008.726562
8.04066	-71.277344	-41.269531	1009.105469
8.048679	-71.21875	-41.359375	1009.117188
8.056698	-71.191406	-41.339844	1009.078125
8.064717	-71.125	-41.296875	1009.050781
8.072736	-71.28125	-41.25	1008.910156
8.080755	-71.34375	-41.28125	1008.910156
8.088774	-71.25	-41.28125	1008.992188
8.096793	-71.109375	-41.351562	1009.285156
8.104812	-71.3125	-41.234375	1009.019531
8.112831	-71.160156	-41.238281	1008.707031
8.12085	-71.308594	-41.089844	1008.746094
8.128869	-71.21875	-41.222656	1008.816406
8.136888	-71.261719	-41.199219	1008.679687
8.144907	-71.210938	-41.21875	1008.605469
8.152926	-71.234375	-41.179688	1008.890625
8.160945	-71.21875	-41.160156	1008.886719
8.168964	-71.1875	-41.285156	1009.140625
8.176983	-71.296875	-41.230469	1008.960937
8.185002	-71.3125	-41.304688	1009.023438
8.193021	-71.382812	-41.105469	1009.238281
8.20104	-71.277344	-41.207031	1009.183594
8.209059	-71.3125	-41.269531	1009.265625
8.217078	-71.195312	-41.214844	1009.203125
8.225097	-71.28125	-41.390625	1008.933594
8.233116	-71.101562	-41.175781	1009.074219
8.241135	-71.242188	-41.269531	1009.050781
8.249154	-71.179688	-41.1875	1009.136719
8.257173	-71.203125	-41.027344	1009.121094
8.265192	-71.164062	-41.242188	1008.847656
8.273211	-71.292969	-41.097656	1008.765625
8.28123	-71.097656	-41.144531	1008.851563
8.289249	-71.191406	-41.367188	1008.972656
8.297268	-71.171875	-41.242188	1008.777344
8.305287	-71.191406	-41.222656	1008.742188
8.313306	-71.203125	-41.191406	1008.839844
8.321325	-71.179688	-41.3125	1008.742188
8.329344	-71.09375	-41.398438	1008.988281
8.337363	-71.078125	-41.15625	1009.121094
8.345382	-71.171875	-41.269531	1009.117188
8.353401	-71.382812	-41.328125	1008.964844
8.36142	-71.261719	-41.238281	1008.898438
8.369439	-71.277344	-41.207031	1008.742188
8.377458	-71.289062	-41.460938	1008.957031
8.385477	-71.316406	-41.429688	1008.789062
8.393496	-71.257812	-41.265625	1008.523438
8.401515	-71.269531	-41.339844	1008.277344
8.409534	-71.300781	-41.234375	1008.425781
8.417553	-71.207031	-41.300781	1008.582031
8.425572	-71.183594	-41.351562	1008.949219
8.433591	-71.386719	-41.273438	1009.027344
8.44161	-71.144531	-41.210938	1008.648438
8.449629	-71.28125	-41.109375	1008.902344
8.457648	-71.265625	-41.3125	1009.097656
8.465667	-71.34375	-41.308594	1008.816406
8.473686	-71.207031	-41.3125	1009.085938
8.481705	-71.324219	-41.40625	1009.140625
8.489724	-71.191406	-41.25	1009.261719
8.497743	-71.175781	-41.066406	1009.253906
8.505762	-71.304688	-41.058594	1009.273438
8.513781	-71.253906	-41.207031	1009.359375
8.5218	-71.320312	-41.132812	1009.09375
8.529819	-71.378906	-41.085938	1009.023438
8.537838	-71.210938	-41.058594	1008.890625
8.545857	-71.191406	-41.136719	1009.09375
8.553876	-71.027344	-41.199219	1009.03125
8.561895	-71.097656	-41.199219	1008.941406
8.569914	-71.226562	-41.179688	1008.917969
8.577933	-71.09375	-41.09375	1008.761719
8.585952	-71.242188	-41.148438	1009.125
8.593971	-71.242188	-41.050781	1009.066406
8.60199	-71.277344	-41.238281	1009.121094
8.610009	-71.300781	-41.160156	1008.90625
8.618028	-71.15625	-41.191406	1009.039063
8.626047	-71.105469	-41.160156	1009.121094
8.634066	-71.136719	-41.226562	1009.242188
8.642085	-71.28125	-41.3125	1009.152344
8.650104	-71.242188	-41.195312	1008.71875
8.658123	-71.265625	-41.269531	1008.617188
8.666142	-71.335938	-41.28125	1008.925781
8.674161	-71.359375	-41.320312	1008.746094
8.68218	-71.171875	-41.25	1008.914062
8.690199	-71.1875	-41.28125	1008.828125
8.698218	-71.261719	-41.347656	1008.597656
8.706237	-71.140625	-41.152344	1008.632812
8.714256	-71.292969	-41.210938	1008.867187
8.722275	-71.359375	-41.246094	1008.90625
8.730294	-71.117188	-41.234375	1008.847656
8.738313	-71.246094	-41.257812	1008.730469
8.746332	-71.347656	-41.371094	1008.671875
8.754351	-71.257812	-41.492188	1008.769531
8.76237	-71.332031	-41.316406	1008.996094
8.770389	-71.347656	-41.304688	1009.226563
8.778408	-71.492188	-41.445312	1009.277344
8.786427	-71.269531	-41.375	1009.148437
8.794446	-71.105469	-41.417969	1008.800781
8.802465	-71.171875	-41.324219	1008.855469
8.810484	-71.1875	-41.355469	1009.144531
8.818503	-71.148438	-41.308594	1009.152344
8.826522	-71.292969	-41.335938	1008.90625
8.834541	-71.105469	-41.101562	1008.980469
8.84256	-71.269531	-41.269531	1008.652344
8.850579	-71.160156	-41.339844	1008.6875
