Date	Time	Acc x	Acc y	Acc z
30/04/2024	19:57:14.514244	-0.006930	0.014160	1.003082
30/04/2024	19:57:14.522221	-0.006906	0.014000	1.003098
30/04/2024	19:57:14.530198	-0.006859	0.014105	1.003406
30/04/2024	19:57:14.538175	-0.006852	0.014152	1.003750
30/04/2024	19:57:14.546160	-0.006820	0.014023	1.003656
30/04/2024	19:57:14.554137	-0.006879	0.013969	1.003348
30/04/2024	19:57:14.562114	-0.006949	0.014063	1.003297
30/04/2024	19:57:14.570091	-0.007066	0.013965	1.003344
30/04/2024	19:57:14.578068	-0.006977	0.014109	1.003559
30/04/2024	19:57:14.586045	-0.007047	0.014117	1.003648
30/04/2024	19:57:14.594022	-0.006852	0.013965	1.003973
30/04/2024	19:57:14.601999	-0.006828	0.014047	1.003500
30/04/2024	19:57:14.609976	-0.007113	0.014012	1.003273
30/04/2024	19:57:14.617953	-0.007023	0.013945	1.003000
30/04/2024	19:57:14.625930	-0.006996	0.014000	1.003625
30/04/2024	19:57:14.633907	-0.006797	0.014117	1.003937
30/04/2024	19:57:14.641884	-0.006836	0.013953	1.004242
30/04/2024	19:57:14.649861	-0.006867	0.013859	1.003891
30/04/2024	19:57:14.657838	-0.006863	0.013836	1.003527
30/04/2024	19:57:14.665815	-0.006812	0.013836	1.002797
30/04/2024	19:57:14.673792	-0.006910	0.014027	1.003125
30/04/2024	19:57:14.681769	-0.006883	0.014125	1.003617
30/04/2024	19:57:14.689746	-0.006883	0.014305	1.004289
30/04/2024	19:57:14.697723	-0.006590	0.014180	1.003848
30/04/2024	19:57:14.705700	-0.006883	0.014258	1.003531
30/04/2024	19:57:14.713677	-0.007016	0.014145	1.002832
30/04/2024	19:57:14.721654	-0.007113	0.014043	1.003148
30/04/2024	19:57:14.729631	-0.006820	0.014160	1.003152
30/04/2024	19:57:14.737608	-0.006812	0.014137	1.004496
30/04/2024	19:57:14.745585	-0.006836	0.014277	1.003961
30/04/2024	19:57:14.753562	-0.007055	0.014313	1.003352
30/04/2024	19:57:14.761539	-0.007027	0.014207	1.002758
30/04/2024	19:57:14.769516	-0.007059	0.014184	1.002582
30/04/2024	19:57:14.777493	-0.006984	0.014293	1.003219
30/04/2024	19:57:14.785470	-0.006805	0.014273	1.004215
30/04/2024	19:57:14.793447	-0.006754	0.014395	1.003652
30/04/2024	19:57:14.801424	-0.007020	0.014184	1.003668
30/04/2024	19:57:14.809401	-0.006961	0.014090	1.002875
30/04/2024	19:57:14.817378	-0.006863	0.014012	1.002578
30/04/2024	19:57:14.825355	-0.006652	0.014281	1.002805
30/04/2024	19:57:14.833332	-0.006508	0.014383	1.003832
30/04/2024	19:57:14.841309	-0.006484	0.014422	1.003859
30/04/2024	19:57:14.849286	-0.006750	0.014246	1.004012
30/04/2024	19:57:14.857263	-0.006855	0.014168	1.003043
30/04/2024	19:57:14.865240	-0.007000	0.013930	1.002992
30/04/2024	19:57:14.873217	-0.006941	0.014000	1.002793
30/04/2024	19:57:14.881194	-0.006980	0.014000	1.004133
30/04/2024	19:57:14.889171	-0.006715	0.014246	1.003937
30/04/2024	19:57:14.897148	-0.006730	0.014219	1.003707
30/04/2024	19:57:14.905125	-0.006867	0.013828	1.002945
30/04/2024	19:57:14.913102	-0.007027	0.014113	1.003410
30/04/2024	19:57:14.921079	-0.007031	0.014109	1.003277
30/04/2024	19:57:14.929056	-0.007027	0.013914	1.004211
30/04/2024	19:57:14.937033	-0.006883	0.014012	1.003887
30/04/2024	19:57:14.945010	-0.007023	0.014105	1.003641
30/04/2024	19:57:14.952987	-0.006820	0.014121	1.003059
30/04/2024	19:57:14.960964	-0.006805	0.014004	1.002754
30/04/2024	19:57:14.968941	-0.006789	0.014008	1.002895
30/04/2024	19:57:14.976918	-0.006871	0.014301	1.004180
30/04/2024	19:57:14.984895	-0.006879	0.014055	1.004371
30/04/2024	19:57:14.992872	-0.007035	0.013973	1.004191
30/04/2024	19:57:15.000849	-0.007027	0.014023	1.002691
30/04/2024	19:57:15.008826	-0.006898	0.013855	1.002621
30/04/2024	19:57:15.016803	-0.006875	0.013969	1.002723
